epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,548.94,0.48483,0.67549,0.32173,0.9554,0.9952,0.99627,0.99419,0.74315,0.76707,0.76648,0.72102,0.26679,0.91453,1.26265,0.40189,1.37575,0.000472,0.000472,0.000472
66,557.093,0.48372,0.64967,0.31659,0.95981,0.9948,0.99848,0.99389,0.7505,0.82876,0.8261,0.79423,0.29127,0.93418,1.16932,0.40542,1.42786,0.00046375,0.00046375,0.00046375
67,565.304,0.4861,0.64412,0.31185,0.96484,0.99228,0.99858,0.994,0.74907,0.79355,0.78769,0.75543,0.27681,0.94622,1.14623,0.4033,1.42169,0.0004555,0.0004555,0.0004555
68,573.32,0.47416,0.62146,0.3007,0.95285,0.99338,0.99714,0.99384,0.75075,0.79638,0.79364,0.75369,0.27732,0.96182,1.1564,0.40593,1.44796,0.00044725,0.00044725,0.00044725
69,581.312,0.47624,0.67069,0.31613,0.96046,0.99684,0.99766,0.99414,0.74544,0.82738,0.82646,0.78756,0.2892,0.96085,1.19997,0.40167,1.42795,0.000439,0.000439,0.000439
70,589.453,0.45806,0.63871,0.30543,0.94352,0.99632,0.99596,0.99437,0.75181,0.7942,0.78711,0.74746,0.27971,0.93228,1.16596,0.39938,1.41122,0.00043075,0.00043075,0.00043075
71,597.559,0.44683,0.59819,0.28862,0.93396,0.99406,0.9967,0.99421,0.75807,0.8217,0.8156,0.7975,0.30407,0.917,1.16769,0.39693,1.40022,0.0004225,0.0004225,0.0004225
72,605.775,0.44625,0.59129,0.29181,0.93734,0.99573,0.99432,0.99439,0.75252,0.81491,0.80459,0.78544,0.28897,0.9234,1.17036,0.39269,1.40625,0.00041425,0.00041425,0.00041425
73,613.682,0.43748,0.58628,0.28671,0.93041,0.99466,0.99526,0.99376,0.7469,0.81816,0.81061,0.78882,0.29711,0.97135,1.20472,0.41701,1.4576,0.000406,0.000406,0.000406
74,621.823,0.45692,0.60924,0.30166,0.9411,0.99397,0.99264,0.99291,0.7506,0.81382,0.8076,0.78444,0.28873,0.94124,1.17881,0.41112,1.42389,0.00039775,0.00039775,0.00039775
75,629.963,0.43478,0.58221,0.28768,0.9279,0.99516,0.99705,0.99399,0.75624,0.79779,0.79016,0.76726,0.28479,0.90496,1.19157,0.39309,1.39274,0.0003895,0.0003895,0.0003895
76,637.995,0.42691,0.57485,0.28471,0.9195,0.99415,0.99743,0.99397,0.74704,0.81617,0.81426,0.798,0.302,0.90787,1.19699,0.39339,1.4072,0.00038125,0.00038125,0.00038125
